University,Subject (R),Campus (R),Faculties (R),Edu. System (R),Tuition Fee (R),Features (R),Facilities (R),Subject (C),Campus (C),Faculties (C),Edu. System (C),Tuition Fee (C),Features (C),Facilities (C)
BRAC University,8.5,6.5,8.5,8.4,6.6,9.5,7.8,"CSE, EEE, BBA, Economics & More",Not Permanent,Highly Certified,3 Semesters Per Year,"High, Low Scholarship Opportunities",Unique Savar Semester & Out Of Campus Activities,Above Average
North South University,8.7,9,8.5,8.8,6.8,8.5,7.5,"CSE, EEE, BBA, Economics & More",Permanent,Highly Certified,3 Semesters Per Year,"High, Low Scholarship Opportunities","Campus, Environment",Above Average
East West University,8.4,9,7.5,8.2,7.5,8,7.5,"CSE, EEE, BBA, Economics & More",Permanent,Highly Certified,3 Semesters Per Year,"Medium, Good Scholarship","Campus, Environment",Above Average
AIUB ,8.3,9.3,7.5,5.5,8.2,8.2,7.5,"CSE, EEE, BBA, Economics & More",Permanent,Highly Certified,3 Semesters Per Year,"Medium, Good Scholarship","Campus, Environment",Above Average
IUB,8.2,7.5,8.2,8.2,7.8,7.5,7.5,"CSE, EEE, BBA, Economics & More",Permanent,Highly Certified,3 Semesters Per Year,"High,Good Scholarship","Campus, Environment",Above Average
UIU,7.2,8,7.2,6.9,7.5,8.2,7.5,"CSE, EEE, BBA, Economics & More",Permanent,Highly Certified,3 Semesters Per Year,"Medium, Good Scholarship","Campus, Environment",Above Average
Daffodil University,7,7.5,7,6,7.5,6.9,7.5,"CSE, EEE, BBA, Economics & More",Permanent,Highly Certified,3 Semesters Per Year,"Medium, Good Scholarship","Cheap, Environment",Above Average
University of Asia Pacific,6.9,6.5,6.9,5,7.5,6,5.5,"CSE, EEE, BBA, Economics & More",Permanent,Highly Certified,3 Semesters Per Year,"Medium, Good Scholarship",Environment,Average
IUBAT,6,6.8,6,5.5,6.9,6.9,5.5,"CSE, EEE, BBA, Economics & More",Permanent,Highly Certified,3 Semesters Per Year,"Low, Good Scholarship","Campus, Environment",Average
Dhaka International University,6.6,7,6.6,4.5,8.5,4.5,5.5,"CSE, EEE, BBA, Economics & More",Not Permanent,Certified,3 Semesters Per Year,"Low, Good Scholarship",Affordable,Average
Manarat International University,6,7.5,6,5,8,5,5.5,"CSE, EEE, BBA, Economics & More",Permanent,Certified,3 Semesters Per Year,"Low, Good Scholarship","Campus, Environment",Average
Southeast University,6.2,7,6.9,4.5,8,4.5,5.5,"CSE, EEE, BBA, Economics & More",Permanent,Certified,3 Semesters Per Year,"Low, Good Scholarship","Campus, Environment",Average
Green University,5,6.3,5,4,8.5,4,5.5,"CSE, EEE, BBA, Economics & More",Permanent,Certified,3 Semesters Per Year,"Low, Good Scholarship","Campus, Environment",Average
Prime University,4.3,4.2,5.8,4.5,8.5,5.5,4.5,"CSE, EEE, BBA, Economics & More",Not Permanent,Certified,3 Semester Per Year,"Low, Good Scholarship Opportunities",Affordable,Average
